,Location,lat,lng
3923,"Hercules, CA",38.0064,-122.2564
3924,"Ridgewood, NY",40.97926,-74.11653
3925,"San Ramon, CA",37.7624,-121.9365
3926,"Cartersville, GA",34.1644,-84.8009
3927,"Denton, MD",38.877,-75.8264
3928,"Universal City, CA",34.1389,-118.35341
3929,"Johns Island, SC",32.7024,-80.04815
3930,"Pennsburg, PA",40.3936,-75.4965
3931,"Stanley, WI",44.9597,-90.9423
3932,"Allendale, SC",33.008,-81.3092
3933,"Conway, PA",40.6674,-80.2411
3934,"West Lebanon, NH",43.64924,-72.31037
3935,"Worthington, OH",40.095,-83.0209
3936,"Timberlake, NC",36.28625,-78.95251
3937,"Bellefontaine, AL",36.73046,3.49482
3938,"Antioch, CA",37.9787,-121.796
3939,"Mystic, CT",41.3562,-71.9546
3940,"Blaine, WA",48.9839,-122.7414
3941,"Queens Village, NY",40.72677,-73.74152
3942,"Canoga Park, CA",34.20112,-118.59814
3943,"Byron, MI",42.8239,-83.9467
3944,"Teachey, NC",34.7705,-78.0066
3945,"Voca, TX",31.011,-99.1845
3946,"Dighton, MA",41.81399,-71.12032
3947,"Konawa, OK",34.9579,-96.7538
3948,"Windsor Locks, CT",41.92926,-72.62731
3949,"Souderton, PA",40.311,-75.3224
3950,"Monroeville, OH",41.244,-82.7018
3951,"Grand Terrace, CA",34.0312,-117.3132
3952,"Mariposa, CA",37.4912,-119.9722
3953,"Stoneville, NC",36.4653,-79.9064
3954,"Newport Beach, CA",33.6151,-117.8668
3955,"Garnet Valley, PA",39.83416,-75.44794
3956,"Covert, MI",42.28381,-86.28103
3957,"Wood-ridge, NJ",40.84566,-74.08792
3958,"Perryton, TX",36.3928,-100.7976
3959,"Alamo, TX",26.181,-98.1177
3960,"Mexico, MO",39.1625,-91.8712
3961,"Carey, OH",40.9497,-83.3831
3962,"Weymouth, MA",42.22093,-70.93977
3963,"Little Ferry, NJ",40.8464,-74.0388
3964,"Jersey Shore, PA",41.2012,-77.2666
3965,"Mt Pleasant, PA",-43.57753,172.72224
3966,"Deer Creek, IL",40.6293,-89.3313
3967,"Waterflow, NM",36.7568,-108.4673
3968,"Mohnton, PA",40.2872,-75.987
3969,"Pine Level, NC",35.5029,-78.2492
3970,"High Springs, FL",29.807,-82.5955
3971,"Lynnfield, MA",42.53898,-71.04811
3972,"Granite City, IL",38.7296,-90.1268
3973,"Rhome, TX",33.0646,-97.4779
3974,"Sidney, OH",40.2891,-84.1667
3975,"West Pittsburg, PA",40.931,-80.3591
3976,"Cannon Falls, MN",44.5122,-92.9034
3977,"Newton, WI",40.95585,-87.39754
3978,"Albion, MI",42.2478,-84.7572
3979,"Yoakum, TX",29.2934,-97.1468
3980,"Concord, CA",37.9722,-122.0016
3981,"Mound House, NV",39.21713,-119.67518
3982,"Clinton, MS",32.354,-90.3403
3983,"Panama City, FL",30.1995,-85.6003
3984,"Lascassas, TN",35.93034,-86.2911
3985,"Cheverly, MD",38.9254,-76.9141
3986,"Sweetwater, TN",35.6029,-84.4716
3987,"Baldwinsville, NY",43.1578,-76.3325
3988,"North Hudson, NY",40.72816,-74.07764
3989,"North Aurora, IL",41.8086,-88.3414
3990,"March Air Reserve Base, CA",33.89267,-117.26081
3991,"Hamilton, OH",39.3939,-84.5653
3992,"Winter Garden, FL",28.5421,-81.5967
3993,"Medford, MN",44.1685,-93.2472
3994,"Rumford, RI",41.84538,-71.352
3995,"Ware Shoals, SC",34.3894,-82.239
3996,"Bethel, CT",41.37121,-73.41401
3997,"Morehouse, MO",36.8463,-89.6911
3998,"Desoto, TX",32.58986,-96.85695
3999,"Broomfield, CO",39.9542,-105.0526
4000,"La Fayette, GA",34.7048,-85.2819
4001,"Kingfield, ME",44.9582,-70.1592
4002,"Woodbury, CT",41.54454,-73.209
4003,"Gainesville, FL",29.6804,-82.3459
4004,"Aberdeen, MD",39.5151,-76.1733
4005,"Northport, AL",33.2586,-87.5993
4006,"Ochelata, OK",36.6021,-95.9725
4007,"Granville, OH",40.0646,-82.5024
4008,"Atlantic City, NJ",39.3797,-74.4527
4009,"Smithtown, NY",40.85593,-73.20067
4010,"Closter, NJ",40.9733,-73.9604
4011,"Floyd, VA",36.9118,-80.3184
4012,"New Troy, MI",41.879,-86.5475
4013,"Random Lake, WI",43.5541,-87.9548
4014,"Portage, MI",42.2,-85.5906
4015,"Durant, IA",41.6011,-90.9138
4016,"Geneva, IL",41.8833,-88.3242
4017,"Neelys Landing, MO",37.50227,-89.50204
4018,"Ames, IA",42.0256,-93.6217
4019,"Kirby, TX",29.4614,-98.3855
4020,"Elkhart, IN",41.6916,-85.9627
4021,"Stoughton, WI",42.9237,-89.2225
4022,"Lowell, MI",42.9351,-85.3457
4023,"Culver City, CA",34.0058,-118.3968
4024,"Monrovia, IN",39.584,-86.4793
4025,"DEWITT, IA",41.82336,-90.53819
4026,"Lewiston, MI",44.8771,-84.3047
4027,"Glen Dale, WV",39.9466,-80.7565
4028,"Toms Brook, VA",38.9465,-78.44
4029,"Tucker, GA",33.8436,-84.2024
4030,"Federal Way, WA",47.3091,-122.3358
4031,"Caledonia, OH",40.6364,-82.9695
4032,"Richland, PA",40.3574,-76.2569
4033,"Franksville, WI",42.76002,-87.91341
4034,"Oviedo, FL",28.658,-81.1872
4035,"Nitro, WV",38.4117,-81.8193
4036,"S EL MONTE, CA",36.57849,-118.29194
4037,"Murfreesboro, TN",35.849,-86.4121
4038,"Russell, KS",38.8874,-98.8514
4039,"Putney, VT",42.9748,-72.52176
4040,"Beaumont, CA",33.9076,-116.9766
4041,"North Vernon, IN",39.0171,-85.6317
4042,"Sunnyvale, TX",32.7974,-96.5577
4043,"Blasdell, NY",42.7964,-78.8324
4044,"OAK HILLS, CA",45.25011,-76.99944
4045,"Maple Grove, MN",45.1089,-93.4626
4046,"Marion, VA",36.8379,-81.5156
4047,"Muskegon Heights, MI",43.2023,-86.2421
4048,"Tremont, MS",34.2326,-88.2507
4049,"Somerdale, NJ",39.8455,-75.0218
4050,"Gray, ME",43.88563,-70.33172
4051,"Old Town, ME",44.9491,-68.7249
4052,"EAST NORRITON, PA",40.12955,-75.37852
4053,"Parsons, WV",39.0942,-79.6785
4054,"Shoreview, MN",45.0842,-93.1358
4055,"Roanoke Rapids, NC",36.4452,-77.649
4056,"Una, SC",-28.21268,-48.74119
4057,"Eutaw, AL",32.8436,-87.8986
4058,"Mckenzie, TN",36.13256,-88.51866
4059,"Strongsville, OH",41.3128,-81.8313
4060,"Ivanhoe, VA",36.8428,-80.9683
4061,"Green Lake, WI",43.8441,-88.9561
4062,"National Stock Yards, IL",38.642,-90.15039
4063,"Standish, MI",43.9794,-83.9637
4064,"Fulton, AR",33.6126,-93.8138
4065,"Aitkin, MN",46.5262,-93.7056
4066,"Three Oaks, MI",41.7985,-86.6139
4067,"Canon, GA",34.3455,-83.1107
4068,"St Marys, OH",40.54227,-84.3894
4069,"Saint Augustine, FL",29.89469,-81.31452
4070,"Roxbury Township, NJ",40.87982,-74.61849
4071,"Mundelein, IL",42.2693,-88.0102
4072,"Lumberton, TX",30.2562,-94.207
4073,"Syosset, NY",40.8157,-73.502
4074,"Claxton, GA",32.1613,-81.9094
4075,"Thief River Falls, MN",48.1108,-96.1778
4076,"Pinole, CA",37.9931,-122.2833
4077,"Conley, GA",33.6399,-84.3376
4078,"Minot, ND",48.2375,-101.278
4079,"Hudson, MI",41.8569,-84.3451
4080,"Centerbrook, CT",41.35149,-72.41592
4081,"Morehead, KY",38.1906,-83.4466
4082,"Clare, MI",43.8259,-84.763
4083,"Colchester, VT",44.54394,-73.14791
4084,"Batesville, AR",35.7687,-91.6227
4085,"Claremont, NH",43.379,-72.3368
4086,"Riddlesburg, PA",40.16202,-78.25446
4087,"Norfolk, VA",36.8945,-76.259
4088,"Gladys, VA",37.1632,-79.07363
4089,"Canton, MA",-3.25861,-79.96053
4090,"Sandersville, GA",32.9827,-82.8089
4091,"Billings, MT",45.7891,-108.5526
4092,"Goleta, CA",34.4361,-119.8594
4093,"Highland, MD",39.1814,-76.957
4094,"Lenoir, NC",35.9094,-81.5249
4095,"New Roads, LA",30.6959,-91.4537
4096,"Slater, IA",41.8807,-93.6911
4097,"San Benito, TX",26.1298,-97.644
4098,"Brewster, MA",41.76011,-70.0828
4099,"Simi Valley, CA",34.2663,-118.749
4100,"Jefferson City, TN",36.1201,-83.4829
4101,"Colquitt, GA",31.1741,-84.7319
4102,"Saint Helena, CA",45.51678,-73.53387
4103,"Lancaster, SC",34.7248,-80.7804
4104,"Texas City, TX",29.4154,-94.9682
4105,"Aurora, OR",45.2284,-122.7573
4106,"Stamford, CT",41.1039,-73.5585
4107,"Juno Beach, FL",26.8754,-80.0589
4108,"Missoula, MT",46.8751,-114.0214
4109,"Covington Township, PA",41.14129,-78.19057
4110,"Brownfield, TX",33.1757,-102.273
4111,"Filer, ID",42.5679,-114.6115
4112,"Mapleton, IL",40.5731,-89.7248
4113,"Oakland, CA",37.7904,-122.2166
4114,"Ridgeway, VA",36.5781,-79.8583
4115,"Eau Claire, MI",41.9853,-86.304
4116,"Kalispell, MT",48.2153,-114.3274
4117,"Woodward, OK",36.4247,-99.4058
4118,"Foley, AL",30.3983,-87.665
4119,"Lordstown, OH",41.1684,-80.859
4120,"Hohenwald, TN",35.5515,-87.5539
4121,"Clifton, NJ",40.863,-74.1575
4122,"Eau Claire, WI",44.8197,-91.4948
4123,"Florence, VT",43.71645,-73.0615
4124,"Lake Geneva, WI",42.5824,-88.4281
4125,"Eaton, IN",40.3218,-85.3591
4126,"Franklin, WI",42.8854,-88.0104
4127,"Saint Joseph, MI",39.76861,-94.84663
4128,"Danville, IN",39.7584,-86.5019
4129,"Cheshire, OH",38.9502,-82.113
4130,"Abilene, TX",32.4543,-99.7384
4131,"Cherry Tree, PA",40.72645,-78.8067
4132,"Amityville, NY",40.6696,-73.4156
4133,"Owosso, MI",42.9955,-84.176
4134,"Gulf Breeze, FL",30.3684,-87.1737
4135,"Sagola, MI",46.09023,-88.07763
4136,"Woodbridge, VA",38.6409,-77.258
4137,"Albuquerque, NM",35.1054,-106.6465
4138,"Halethorpe, MD",39.23983,-76.68025
4139,"Richland, MS",32.2309,-90.1591
4140,"Liberty, MO",39.2394,-94.4191
4141,"Coshocton, OH",40.2618,-81.848
4142,"Edwardsville, IL",38.7922,-89.9874
4143,"Port Newark, NJ",40.69709,-74.17557
4144,"Ritzville, WA",47.1253,-118.3809
4145,"Point Harbor, NC",36.07877,-75.79463
4146,"Johnstown, PA",40.326,-78.9194
4147,"Galliano, LA",29.447,-90.3096
4148,"Vinton, IA",42.1631,-92.026
4149,"Bend, OR",44.0563,-121.3095
4150,"ST JOE, IN",41.31533,-84.90135
4151,"South Gate, CA",33.9447,-118.1926
4152,"Cranford, NJ",40.6548,-74.3053
4153,"Corry, PA",41.9259,-79.6358
4154,"Portage, IN",41.5856,-87.1797
4155,"Vanceburg, KY",38.5944,-83.3245
4156,"Sterling, VA",39.0052,-77.405
4157,"Central Islip, NY",40.7836,-73.1945
4158,"Brainerd, MN",46.3553,-94.1983
4159,"Bensenville, IL",41.9579,-87.9442
4160,"Coolidge, GA",31.0113,-83.866
4161,"Jeffersonville, IN",38.3376,-85.7026
4162,"Willow Spring, NC",35.59571,-78.7314
4163,"Aspers, PA",39.9792,-77.2276
4164,"East Alton, IL",38.884,-90.1074
4165,"Hazelwood, MO",38.7931,-90.3899
4166,"Mckenney, VA",36.98682,-77.72305
4167,"Nampa, ID",43.5844,-116.5638
4168,"Leawood, KS",38.9075,-94.6258
4169,"Elk Rapids, MI",44.8949,-85.4053
4170,"Lincolnwood, IL",42.0054,-87.733
4171,"Tyler, TX",32.3184,-95.3062
4172,"Glendale Heights, IL",41.9196,-88.0785
4173,"Samoa, CA",40.8146,-124.1893
4174,"Rocky Mount, VA",37.0045,-79.8854
4175,"Camilla, GA",31.2337,-84.2088
4176,"Rowlett, TX",32.9155,-96.5489
4177,"Institute, WV",38.3797,-81.7662
4178,"Colton, OR",45.17207,-122.43786
4179,"New Hudson, MI",42.39176,-71.56618
4180,"Burlington, IA",40.8071,-91.1247
4181,"Gonzales, LA",30.2132,-90.9234
4182,"Nappanee, IN",41.4451,-85.994
4183,"Geneva, OH",41.8007,-80.9461
4184,"Elyria, OH",41.376,-82.106
4185,"Hartsville, SC",34.3675,-80.0829
4186,"Alpine, UT",40.4629,-111.7724
4187,"Benbrook, TX",32.6788,-97.4637
4188,"Groveport, OH",39.8586,-82.8978
4189,"Maple Lake, MN",45.2334,-94.0063
4190,"Lena, WI",44.953,-88.0476
4191,"Blaine, MN",45.1696,-93.2077
4192,"Haslet, TX",32.9609,-97.3387
4193,"WINSTON-SALEM, NC",36.09986,-80.24422
4194,"Pontiac, MO",36.5165,-92.6037
4195,"East Palatka, FL",29.6502,-81.5997
4196,"Cortez, CO",37.3503,-108.5768
4197,"Tifton, GA",31.4624,-83.5203
4198,"Mountain View, CA",37.4001,-122.0796
4199,"Rutherfordton, NC",35.3642,-81.9613
4200,"Laurel Hill, NC",34.8102,-79.546
4201,"Notre Dame, IN",41.7014,-86.2378
4202,"Wellston, OH",39.1172,-82.5375
4203,"VERNON, CT",41.81871,-72.47953
4204,"Macon, MS",33.1217,-88.5564
4205,"Clarklake, MI",42.12143,-84.34495
4206,"Forest Park, IL",41.8683,-87.8157
4207,"Norwell, MA",42.16177,-70.79393
4208,"Lee, FL",30.4114,-83.3003
4209,"South brunswick, NJ",40.43899,-74.53515
4210,"Luke, MD",39.4766,-79.0593
4211,"Waddell, AZ",33.61143,-112.42711
4212,"Chipley, FL",30.7752,-85.5406
4213,"Summerville, PA",41.1163,-79.188
4214,"Montague, NJ",41.30315,-74.7935
4215,"Westfield, NY",40.65899,-74.34737
4216,"Oxford, CT",41.43399,-73.11678
4217,"Daggett, CA",34.8536,-116.78753
4218,"Harrison, NY",41.0236,-73.7193
4219,"Rush, NY",42.9959,-77.64556
4220,"Fremont, OH",41.3535,-83.1147
4221,"Gallup, NM",35.5182,-108.7431
4222,"Winder, GA",33.9917,-83.7218
4223,"Schnecksville, PA",40.6699,-75.6115
4224,"Pelican Rapids, MN",46.57,-96.0861
4225,"Hutchinson, KS",38.0671,-97.9081
4226,"Suitland, MD",38.8492,-76.9225
4227,"South Easton, MA",38.804,-76.06883
4228,"Section, AL",34.5816,-85.9849
4229,"Mahtomedi, MN",45.0619,-92.966
4230,"Columbia, SC",34.0378,-80.9036
4231,"Hartselle, AL",34.4391,-86.9396
4232,"Gibsonville, NC",36.0993,-79.5415
4233,"Elkhart, TX",31.6276,-95.5789
4234,"Freeport, ME",43.85702,-70.10311
4235,"Slaughter, LA",30.7219,-91.1393
4236,"Driftwood, TX",30.133,-98.0373
4237,"Pawtucket, RI",41.8744,-71.3743
4238,"Hemlock, MI",43.4186,-84.2311
4239,"Macedon, NY",43.06923,-77.29887
4240,"Logan, OH",39.5385,-82.4062
4241,"Caldwell, NJ",40.8389,-74.2776
4242,"Holly hill, FL",29.24359,-81.03756
4243,"Wilmer, TX",32.5983,-96.6815
4244,"Iola, KS",37.9274,-95.4006
4245,"Sidney, NE",41.1341,-102.9681
4246,"Burtchville, MI",43.12215,-82.51519
4247,"Nottingham, MD",39.364,-76.45218
4248,"Gas City, IN",40.4887,-85.5944
4249,"Crowley, LA",30.2175,-92.3752
4250,"Lansing, IL",41.5648,-87.5462
4251,"Kirbyville, TX",30.6578,-93.9001
4252,"Aubrey, TX",33.2874,-96.9622
4253,"Kootenai, ID",48.3118,-116.5172
4254,"Whiting, VT",43.86395,-73.20039
4255,"Hanover Township, PA",40.65253,-75.43554
4256,"Glenview, IL",42.0825,-87.8214
4257,"Dekalb, IL",41.92947,-88.75036
4258,"Robinsonville, MS",34.81732,-90.31621
4259,"Yermo, CA",34.9073,-116.8235
4260,"Addyston, OH",39.1371,-84.7104
4261,"Hazard, KY",37.2584,-83.1977
4262,"Crowley, TX",32.5781,-97.3585
4263,"Vienna, OH",39.32367,-83.69103
4264,"Saint Marys, PA",41.41248,-78.50332
4265,"Magnolia, TX",30.2115,-95.742
4266,"Santa Clara, CA",37.3646,-121.968
4267,"Brooklyn Center, MN",45.0681,-93.3162
4268,"Snowville, UT",41.9728,-112.7164
4269,"Bluffdale, UT",40.4744,-111.9381
4270,"Boling, TX",29.2584,-95.9436
4271,"Weston, OH",41.3464,-83.7948
4272,"Beatty, NV",36.9474,-116.7337
4273,"Eden, NC",36.5027,-79.7412
4274,"Fort Pierce, FL",27.4255,-80.3431
4275,"Gray Court, SC",34.6079,-82.1143
4276,"Kenova, WV",38.4026,-82.5822
4277,"Redding, CA",40.5698,-122.365
4278,"Pendleton, IN",40.0066,-85.7711
4279,"Remus, MI",48.33889,-76.34194
4280,"Mokena, IL",41.5327,-87.8781
4281,"Warrensburg, NY",43.49674,-73.77623
4282,"Old Fort, NC",35.6305,-82.1777
4283,"Turtle River, MN",47.5882,-94.7581
4284,"Scottsburg, IN",38.6853,-85.7831
4285,"Braddock, PA",40.4018,-79.8689
4286,"Beaufort, NC",34.73,-76.6493
4287,"Anderson, SC",34.5211,-82.6478
4288,"Redwood Valley, CA",39.2689,-123.2023
4289,"Troy, OH",40.0437,-84.2186
4290,"Seymour, WI",44.5142,-88.3271
4291,"Cadiz, OH",40.2644,-80.998
4292,"Jerome, ID",42.7179,-114.5159
4293,"South River, NJ",40.4455,-74.3783
4294,"Decatur, AL",34.5731,-86.9905
4295,"Riverside, RI",34.1064,-117.37032
4296,"Ridgely, MD",38.9528,-75.8828
4297,"La Mirada, CA",33.9025,-118.0093
4298,"West Monroe, LA",32.512,-92.1513
4299,"Greenwich, OH",41.0318,-82.5198
4300,"Winnsboro, TX",32.9557,-95.2909
4301,"Country Club Hills, IL",41.5636,-87.7251
4302,"Pardeeville, WI",43.5358,-89.301
4303,"Taylorsville, NC",35.9175,-81.1754
4304,"Higganum, CT",41.4905,-72.558
4305,"Lorraine, KS",38.569,-98.3174
4306,"Garden City, KS",37.9753,-100.8527
4307,"Mineral Ridge, OH",41.1385,-80.7672
4308,"Sugarcreek, OH",40.5076,-81.6409
4309,"Burlington, VT",44.4876,-73.2316
4310,"Champlain, NY",44.98643,-73.44653
4311,"Beloit, OH",40.9196,-80.9964
4312,"Claremore, OK",36.3146,-95.6095
4313,"Wheatley Heights, NY",40.7624,-73.3705
4314,"Bryan, OH",41.4706,-84.5483
4315,"ST AUGUSTINE, FL",29.89469,-81.31452
4316,"Harbeson, DE",38.72483,-75.28491
4317,"West Chicago, IL",41.896,-88.2253
4318,"Dellroy, OH",40.555,-81.1992
4319,"Enigma, GA",31.4076,-83.329
4320,"Paris, IL",39.6148,-87.6903
4321,"Kenton, OH",40.6449,-83.6093
4322,"Burlington, NC",36.076,-79.4685
4323,"Chapel Hill, TN",35.6283,-86.697
4324,"La Grange, GA",33.00889,-85.0725
4325,"Altavista, VA",37.1235,-79.2856
4326,"Oshkosh, WI",44.0227,-88.5619
4327,"Okeene, OK",36.1171,-98.3167
4328,"Mukwonago, WI",42.857,-88.3269
4329,"Barrington, IL",42.1515,-88.1281
4330,"Wylie, TX",33.0362,-96.5161
4331,"Whittier, CA",33.9678,-118.0188
4332,"Perry, IA",41.8387,-94.0938
4333,"Buford, GA",34.1192,-83.9903
4334,"Rockford, OH",40.6912,-84.6497
4335,"Port Neches, TX",29.9765,-93.9459
4336,"Hazen, AR",34.7964,-91.5714
4337,"Coconut Creek, FL",26.2803,-80.1842
4338,"Richwood, KY",38.92062,-84.62494
4339,"East Longmeadow, MA",42.0501,-72.58287
4340,"La Vista, NE",41.1816,-96.0664
4341,"Elkridge, MD",39.1941,-76.7428
4342,"Kahoka, MO",40.4237,-91.7187
4343,"Saugerties, NY",42.06139,-73.95067
4344,"Friendship, NY",42.20646,-78.13751
4345,"Gurdon, AR",33.9154,-93.1545
4346,"Sidney, NY",42.3148,-75.39157
4347,"Millston, WI",44.1885,-90.6446
4348,"Vernal, UT",40.4517,-109.5378
4349,"American Canyon, CA",38.1796,-122.2583
4350,"Savannah, TN",35.221,-88.236
4351,"Bolingbrook, IL",41.6901,-88.1021
4352,"ST MARTINVILLE, LA",30.1252,-91.83345
4353,"Harmony, PA",40.8015,-80.125
4354,"Austell, GA",33.8201,-84.6451
4355,"Shirley, NY",40.7936,-72.8748
4356,"Harrisburg, PA",40.2752,-76.8843
4357,"Lake George, NY",43.60192,-73.57946
4358,"Lake Forest Park, WA",47.7574,-122.2864
4359,"Fort Bragg, NC",35.139,-79.00603
4360,"Argyle, NY",43.23785,-73.4915
4361,"Jackson, TN",35.6538,-88.8354
4362,"Charleston, SC",32.8168,-79.9687
4363,"Bear Creek, AL",34.2651,-87.7164
4364,"Windsor, CA",38.5422,-122.8089
4365,"Rockford, TN",35.8328,-83.9358
4366,"Knightdale, NC",35.7911,-78.4966
4367,"Canal Winchester, OH",39.8437,-82.8126
4368,"Hackett, AR",35.1877,-94.4106
4369,"New Market, TN",36.1096,-83.5493
4370,"Almont, MI",42.9206,-83.0434
4371,"Moncure, NC",35.6239,-79.0769
4372,"Brandon, VT",43.79812,-73.08761
4373,"Holdrege, NE",40.4394,-99.3773
4374,"Butner, NC",36.1285,-78.7501
4375,"Fridley, MN",45.0841,-93.2595
4376,"Bowling Green, OH",41.3776,-83.6495
4377,"Des Moines, WA",47.3914,-122.3156
4378,"Reno, NV",39.5497,-119.8483
4379,"Covington, LA",30.481,-90.1122
4380,"Tolleson, AZ",33.4484,-112.256
4381,"Fayetteville, GA",33.4501,-84.471
4382,"Columbia Heights, MN",45.0484,-93.2472
4383,"Jonesville, NC",36.2336,-80.8351
4384,"Roseland, VA",37.74764,-78.97586
4385,"Lamesa, TX",32.7333,-101.9541
4386,"Georgetown, IN",38.2954,-85.964
4387,"Matthews, NC",35.1195,-80.7101
4388,"Rolla, MO",37.9459,-91.7607
4389,"Boonton Township, NJ",40.93118,-74.42522
4390,"STONE MTN, GA",33.82872,-84.25135
4391,"Birchwood, WI",45.6577,-91.5507
4392,"Hastings, MN",44.7318,-92.8538
4393,"Casnovia, MI",43.2336,-85.7895
4394,"San Antonio, TX",29.4632,-98.5238
4395,"Sunflower, MS",33.5444,-90.5373
4396,"Newburg, NY",42.69312,-78.11973
4397,"Grand Prairie, TX",32.6871,-97.0208
4398,"Conifer, CO",39.5211,-105.30527
4399,"Dale, IN",38.1769,-86.9802
4400,"Springfield, NJ",40.706,-74.313
4401,"Harahan, LA",29.9374,-90.2031
4402,"Reading, OH",39.2242,-84.4333
4403,"Totowa, NJ",40.9039,-74.2214
4404,"Mount Joy, PA",40.1106,-76.5065
4405,"Garden Grove, CA",33.7787,-117.9601
4406,"Kansas City, MO",39.1238,-94.5541
4407,"Troy, IL",38.7268,-89.8977
4408,"Reed, KY",-67.03333,51.63333
4409,"East Bernard, TX",29.5241,-96.0622
4410,"Waite Park, MN",45.5313,-94.2528
4411,"Erie, CO",40.0404,-105.0399
4412,"Neodesha, KS",37.4241,-95.6848
4413,"Marietta, OH",39.4241,-81.4465
4414,"Rainsville, AL",34.4938,-85.8436
4415,"The Dalles, OR",45.6053,-121.1818
4416,"Caddo Mills, TX",33.0504,-96.2279
4417,"Walton, NY",42.16953,-75.12934
4418,"ST. ANSGAR, IA",43.3783,-92.91881
4419,"Post Falls, ID",47.7213,-116.9384
4420,"Eighty Four, PA",40.1777,-80.1303
4421,"Dickson, TN",36.0637,-87.3665
4422,"Osgood, IN",39.1286,-85.2929
4423,"Weyers Cave, VA",38.2844,-78.9125
4424,"Belchertown, MA",42.27704,-72.40092
4425,"High Ridge, MO",38.4608,-90.5338
4426,"NORTH SYRACUSE, NY",43.04812,-76.14742
4427,"Blanchester, OH",39.2934,-83.9795
4428,"Blue Island, IL",41.6578,-87.6811
4429,"Mounds, IL",37.1145,-89.2023
4430,"Portland, AR",33.2379,-91.5109
4431,"Brookville, IN",39.4231,-85.0105
4432,"Cranston, RI",41.7658,-71.4858
4433,"Dillwyn, VA",37.5411,-78.4613
4434,"Genoa City, WI",42.5065,-88.3192
4435,"Berryville, VA",39.1504,-77.9825
4436,"Milton Freewater, OR",45.93263,-118.38774
4437,"Hertford, NC",36.1813,-76.4673
4438,"Franklin, TN",35.92,-86.8516
4439,"Hesperia, MI",43.5691,-86.0407
4440,"Winston Salem, NC",36.09986,-80.24422
4441,"Chickasha, OK",35.0409,-97.9474
4442,"Slippery Rock, PA",41.0695,-80.058
4443,"Pepin, WI",44.4425,-92.1481
4444,"Westwego, LA",29.9058,-90.1434
4445,"Cornell, WI",45.1632,-91.1497
4446,"Saint Peters, MO",38.80033,-90.62651
4447,"Effingham, SC",34.05794,-79.75312
4448,"Findlay, OH",41.0469,-83.6379
4449,"Sims, NC",35.7596,-78.0598
4450,"El Dorado, KS",37.821,-96.8613
4451,"Orchard Park, NY",42.76756,-78.74392
4452,"Saint John, IN",41.45004,-87.47004
4453,"St. Helena, CA",38.5063,-122.4682
4454,"Liberty, SC",34.7904,-82.6961
4455,"Superior, WI",46.6941,-92.0823
4456,"Pembroke, NH",42.07149,-70.80921
4457,"Julian, PA",40.8616,-77.9426
4458,"Gladwin, MI",43.9837,-84.4876
4459,"Wilkesboro, NC",36.1424,-81.174
4460,"Central Point, OR",42.3764,-122.9111
4461,"Bergenfield, NJ",40.9236,-73.9982
4462,"Forest, VA",37.3728,-79.2831
4463,"Roselle, IL",41.9809,-88.0861
4464,"Baldwin, MI",43.8971,-85.8531
4465,"Fincastle, VA",37.5006,-79.8749
4466,"Gridley, IL",40.7437,-88.8809
4467,"Delaware, OH",40.2851,-83.0741
4468,"Brighton, MA",42.3501,-71.15644
4469,"Schuyler, NY",42.3938,-76.87518
4470,"Jacksboro, TX",33.2256,-98.1594
4471,"Lombard, IL",41.8741,-88.0157
4472,"Orlando, FL",28.4773,-81.337
4473,"Damascus, MD",39.2701,-77.1957
4474,"Lancaster, CA",34.6935,-118.1753
4475,"Orrtanna, PA",39.8459,-77.3594
4476,"Webbers Falls, OK",35.5105,-95.1601
4477,"Marietta, OK",33.936,-97.1248
4478,"Le Center, MN",44.3866,-93.7311
4479,"Hamden, CT",41.39593,-72.89677
4480,"Salisbury, MD",38.3756,-75.5865
4481,"Johnstown, NY",43.0073,-74.3755
4482,"Dyersville, IA",42.4818,-91.1178
4483,"Charlotte, NC",35.2083,-80.8303
4484,"Litchfield, CT",41.80065,-73.12122
4485,"Aspen, CO",39.1951,-106.8369
4486,"New Hampton, IA",43.0563,-92.3153
4487,"Hamilton, MS",33.746,-88.4095
4488,"San Miguel, CA",37.8867,-122.0368
4489,"Bradford, MA",42.7762,-71.07728
4490,"Baird, TX",32.396,-99.3963
4491,"Denver, PA",40.2326,-76.1392
4492,"Gibsonia, PA",40.6322,-79.9684
4493,"Toledo, WA",46.4415,-122.8497
4494,"Mount Pleasant, TN",35.5483,-87.1872
4495,"Hickory, KY",36.8174,-88.6485
4496,"Bristol, IN",41.7184,-85.8228
4497,"White City, OR",42.4316,-122.8322
4498,"Wentworth, NH",43.59666,-71.15664
4499,"Saint James City, FL",26.49758,-82.07843
4500,"Layton, UT",41.077,-111.962
4501,"Sacramento, CA",38.5677,-121.4685
4502,"Golden, CO",39.7406,-105.2118
4503,"Cobbtown, GA",32.2806,-82.1387
4504,"Calhoun, GA",34.491,-84.9386
4505,"Rice Lake, WI",45.4864,-91.7447
4506,"Oregon, OH",41.6524,-83.4321
4507,"Conklin, NY",42.03424,-75.8038
4508,"East Irvine, CA",33.67585,-117.75978
4509,"Garfield, MN",45.9388,-95.4945
4510,"Johnson City, TN",36.3406,-82.3806
4511,"Fayette, AL",33.6943,-87.8307
4512,"Elizabethport, NJ",40.6501,-74.18709
4513,"Van Buren, IN",40.6157,-85.5039
4514,"Siler City, NC",35.7251,-79.456
